"","fid","x","submission_date","meta_instance_id","village","age","gender","ethnicity","education","born","household_size","hs","household_comp","hc_gen","hc_det","young_boy","adolesc_boy","men","young_girl","adolesc_girl","women","food_uncertainty","selling_possessions","farm","livestock","conflict_type","crop_threat_rate","farm_size","field_sight","farm_walk","months_planted","crops_planted","crop_prot","other_crop_prot","crop_species","other_crop_species","top_species","other_top_species","elephant_crops_vao","herd_comp","cattle","sheep","goat","donkey","dog","chicken","duck","other_livestock","livestock_threat","small_lv_prot","small_lv_prot_other_day","small_lv_prot_other_night","med_lar_lv_prot","med_lar_lv_prot_other_day","med_lar_lv_prot_other_night","med_lar_lv_guard_day","guard_ave_day","med_lar_lv_guard_night","guard_ave_night","lv_small_loss","chicken_loss","duck_loss","other_small_loss","species_small_lv","species_small_lv_other","species_concern_small_lv","species_concern_small_lv_other","lv_med_loss","cattle_loss","goat_loss","sheep_loss","donkey_loss","dog_loss","other_med_loss","species_med_lv","species_med_lv_other","species_concern_med_lv","species_concern_med_lv_other","lv_ele_vao","lv_hyena_vao","lv_lion_vao","lv_leopard_vao","species_structures","household_location_altitude","household_location_accuracy","key","elephant_c","baboon_c","buffalo_c","hippo_c","other_c","vervet_c","elephant_l","hyena_l","lion_l","leopard_l","conflict","species","ID","crop","c70","c2070","river","road","gse_slope30m","build_dens","settle_dist"
"1948",272,298,"NA","uuid:195b53c3-e426-42a2-b838-2390984ea563","Nyichoka",46,"Female","Msukuma","Primary","No","8",1,"Young_boy Men Young_girl Adolesc_girl Women",1,1,"1","NA","2","1","3","1",4,"Few_times","Yes","Yes","Crop_damage Livestock_loss_med Structure","Wildlife",6,"No","45_60","9","3","None","","Elephant","","Elephant","","Often","Cattle Dog Chicken","35","NA","NA","NA","4","3","NA","NA","Weather","Night_contained Night_dog Day_none","NA","NA","Day_guard Night_contain Night_dogs","","NA","Men","1","NA","NA","","NA","NA","NA","","NA","","NA","Sheep","NA","NA","4","NA","NA","NA","Hyena","NA","Hyena","NA","","Rarely","","","Elephant Hyena",1366.9,4.1,"uuid:195b53c3-e426-42a2-b838-2390984ea563",1,0,0,0,0,0,0,1,0,0,1,"hyena",272,0.341964572668076,0.0786634460091591,0.335330098867416,0.0389855057001114,0.00933977495878935,4.42565870285034,23.5797100067139,3523.95458984375
"1949",273,299,"NA","uuid:34960c14-d794-4225-9fc3-d338ed568101","Nyichoka",26,"Male","Mkurya","Primary","No","18",1,"Young_boy Men Young_girl Adolesc_girl Women",1,1,"2","NA","7","4","1","4",4,"Frequently","Yes","Yes","Crop_damage","Weather",3,"Yes","0_15","9","4","Guarding Shouting Chasing","","Elephant","","Elephant","","Rarely","Goat Dog Chicken","NA","NA","2","NA","1","15","NA","NA","Low_productivity","Night_contained Day_none","NA","NA","Day_other Night_contain Night_dogs","Kuwafunga","NA","","NA","NA","NA","","NA","NA","NA","","NA","","NA","","NA","NA","NA","NA","NA","NA","","NA","","NA","","","","","",1444.7,4.3,"uuid:34960c14-d794-4225-9fc3-d338ed568101",1,0,0,0,0,0,0,0,0,0,0,"hyena",273,0.335008054971695,0.0656843781471252,0.379452496767044,0.0366505645215511,0.00980676338076591,3.63609480857849,27.7971019744873,5093.8125
"1950",274,300,"NA","uuid:6f65db24-1c10-405f-bba3-fd5a58c3d6a5","Nyichoka",35,"Female","Mkurya","Primary","Yes","8",1,"Young_boy Adolesc_boy Men Young_girl Adolesc_girl Women",1,1,"2","1","1","2","1","1",4,"Few_times","Yes","No","Crop_damage","Weather",4,"Yes","0_15","8","2","None","","Elephant","","Elephant","","Never","","NA","NA","NA","NA","NA","NA","NA","NA","","","NA","NA","","","NA","","NA","NA","NA","","NA","NA","NA","","NA","","NA","","NA","NA","NA","NA","NA","NA","","NA","","NA","","","","","",1433.8,4.7,"uuid:6f65db24-1c10-405f-bba3-fd5a58c3d6a5",1,0,0,0,0,0,0,0,0,0,0,"hyena",274,0.280805140733719,0.0545088574290276,0.447455704212189,0.0331400968134403,0.00845410581678152,3.3611204624176,28.7391300201416,6785.7919921875
"1951",275,301,"NA","uuid:a2488add-47d8-4606-8e99-2fa1da3b6ba0","Nyichoka",50,"Male","Mwikoma","Primary","Yes","7",1,"",0,0,"NA","NA","NA","NA","NA","NA",4,"Few_times","Yes","Yes","No_conflict","Weather",3,"Yes","0_15","9","2","None","","","","","","","Cattle Sheep Goat Dog","3","4","2","NA","2","NA","NA","NA","Low_productivity","NA_noSmall","NA","NA","Day_guard Night_contain Night_dogs","","NA","Men","1","NA","NA","","NA","NA","NA","","NA","","NA","","NA","NA","NA","NA","NA","NA","","NA","","NA","","","","","",1505.6,4.8,"uuid:a2488add-47d8-4606-8e99-2fa1da3b6ba0",0,0,0,0,0,0,0,0,0,0,0,"hyena",275,0.31959742307663,0.0676650553941727,0.366231888532639,0.0378582924604416,0.0096779391169548,4.23402738571167,24.1884059906006,5116.56103515625
"1952",276,302,"NA","uuid:ea1237b3-6190-4171-9c21-2a22848bfe67","Nyichoka",62,"Male","Msuba","Post_secondary","No","21",1,"",0,0,"NA","NA","NA","NA","NA","NA",4,"Frequently","Yes","Yes","Crop_damage Livestock_loss_med Structure","Wildlife",6,"Yes","15_30","8","3","None","","Elephant Other","Tumbili","Elephant","","Always","Cattle Goat Dog Chicken Other","22","NA","11","NA","4","50","NA","6","Low_productivity","Night_contained Night_dog Day_none","NA","NA","Day_guard Night_contain Night_dogs","","NA","Adolesc_boys Men","1","NA","NA","","NA","NA","NA","","NA","","NA","Cattle Goat","2","3","NA","NA","NA","NA","Hyena","NA","Hyena","NA","","Always","","","Elephant Hyena",1374.3,4.8,"uuid:ea1237b3-6190-4171-9c21-2a22848bfe67",1,0,0,0,1,1,0,1,0,0,1,"hyena",276,0.318332076072693,0.0645970776677132,0.375306665897369,0.0344796516001225,0.0084523456171155,3.85360908508301,28.7246379852295,6816.26611328125
"1953",277,303,"NA","uuid:0a1b6e56-4b77-42ab-a68e-278811a6ca95","Nyichoka",30,"Female","Mkurya","Primary","Yes","15",1,"",0,0,"NA","NA","NA","NA","NA","NA",4,"Few_times","Yes","Yes","Crop_damage Livestock_loss_med","Wildlife",6,"Yes","0_15","9","3","Guarding Shouting","","Elephant","","Elephant","","Sometimes","Cattle Sheep Goat Donkey Dog Chicken","30","23","10","1","3","30","NA","NA","Weather","Night_contained Night_dog Day_none","NA","NA","Day_guard Night_contain Night_dogs","","NA","Adolesc_boys Men","1","NA","NA","","NA","NA","NA","","NA","","NA","Cattle Sheep","2","NA","5","NA","NA","NA","Hyena","NA","Hyena","NA","","Often","","","",1564.2,4.9,"uuid:0a1b6e56-4b77-42ab-a68e-278811a6ca95",1,0,0,0,0,0,0,1,0,0,1,"hyena",277,0.332640916109085,0.0745410621166229,0.351867944002151,0.0336231887340546,0.00713365525007248,3.71352505683899,29.5652179718018,8497.2841796875
"1954",278,304,"NA","uuid:505fea3e-92af-4278-b35e-5cd135862a1b","Bokore",47,"Male","Mwisenye","Primary","Yes","8",1,"Men Young_girl Women",1,1,"NA","NA","3","2","NA","3",4,"Few_times","Yes","Yes","Livestock_loss_med Structure","Weather",8,"No","45_60","8","5","Guarding Shouting Chasing","","","","","","","Cattle Sheep Goat Dog Chicken","15","6","8","NA","5","20","NA","NA","Weather","Night_contained Night_dog Day_none","NA","NA","Day_guard Night_contain Night_dogs","","NA","Men","1","NA","NA","","NA","NA","NA","","NA","","NA","Goat Sheep","NA","3","1","NA","NA","NA","Hyena","NA","Hyena","NA","","Never","","","Hyena",1479.8,4.9,"uuid:505fea3e-92af-4278-b35e-5cd135862a1b",0,0,0,0,0,0,0,1,0,0,1,"hyena",278,0.339838981628418,0.067826084792614,0.339742362499237,0.0416103042662144,0.00872785784304142,4.48981237411499,22.0869560241699,5538.3720703125
"1955",279,305,"NA","uuid:80920518-7e4b-4aea-aa0e-ff2dae127949","Bokore",36,"Female","Mwikoma","Primary","Yes","6",1,"Adolesc_boy Men Adolesc_girl Women",1,1,"NA","2","1","NA","1","2",4,"Few_times","Yes","Yes","Crop_damage Structure","Weather",5,"No","45_60","9","3","None","","Elephant","","Elephant","","Often","Cattle Goat Dog Chicken","12","NA","2","NA","3","5","NA","NA","Low_productivity","Night_contained Night_dog Day_none","NA","NA","Day_guard Night_contain Night_dogs","","NA","Men","1","NA","NA","","NA","NA","NA","","NA","","NA","","NA","NA","NA","NA","NA","NA","","NA","","NA","","","","","Elephant",1534.7,4.9,"uuid:80920518-7e4b-4aea-aa0e-ff2dae127949",1,0,0,0,0,0,0,0,0,0,0,"hyena",279,0.33885669708252,0.0600483082234859,0.336553931236267,0.0412399359047413,0.00789049919694662,4.47143077850342,23.4927539825439,5974.9033203125
"1956",280,306,"NA","uuid:5ec0c859-c8cb-4893-8ac2-4d67006810f5","Burunga",43,"Male","Mwikoma","Primary","Yes","NA",0,"",0,0,"NA","NA","NA","NA","NA","NA",4,"Once_or_twice","Yes","Yes","Crop_damage Structure","Weather",5,"Yes","0_15","9","3","Guarding","","Elephant","","Elephant","","Often","Cattle Dog Chicken","20","NA","NA","NA","3","12","NA","NA","Grazing_land","Night_contained Day_none","NA","NA","Day_guard Night_contain Night_dogs","","NA","Adolesc_boys","1","NA","NA","","NA","NA","NA","","NA","","NA","","NA","NA","NA","NA","NA","NA","","NA","","NA","","","","","Elephant",1540.6,4.7,"uuid:5ec0c859-c8cb-4893-8ac2-4d67006810f5",1,0,0,0,0,0,0,0,0,0,0,"hyena",280,0.379178732633591,0.0378904975950718,0.306392908096313,0.0406441241502762,0.00843800324946642,3.77141690254211,23.594202041626,4892.263671875
"1957",281,307,"NA","uuid:0ab65e6d-9339-435c-970f-e5b202f8dc97","Burunga",51,"Male","Mkurya","Primary","Yes","6",1,"Young_boy Men Adolesc_girl Women",1,1,"3","NA","1","NA","1","1",2,"Never","Yes","Yes","Crop_damage Livestock_loss_med Structure","Wildlife",6,"Yes","0_15","8","4","Guarding Shouting","","Elephant","","Elephant","","Always","Cattle Sheep Goat Dog Chicken","35","5","20","NA","3","8","NA","NA","Grazing_land","Night_contained Day_none","NA","NA","Day_guard Night_contain Night_dogs","","NA","Men","1","NA","NA","","NA","NA","NA","","NA","","NA","Goat Sheep","NA","4","2","NA","NA","NA","Hyena","NA","Hyena","NA","","Rarely","","","Elephant Hyena",1531.3,4.7,"uuid:0ab65e6d-9339-435c-970f-e5b202f8dc97",1,0,0,0,0,0,0,1,0,0,1,"hyena",281,0.31959742307663,0.0515136867761612,0.348743975162506,0.0413043461740017,0.00626409007236362,4.24699258804321,16.6376819610596,3559.64453125
"1958",282,308,"NA","uuid:5927673b-1f2f-484d-9252-a99751c6335f","Bokore",36,"Male","Mkurya","None","Yes","3",1,"Young_boy Men Women",1,1,"1","NA","1","NA","NA","1",4,"Few_times","Yes","No","Crop_damage","Weather",3,"No","15_30","8","3","Guarding Shouting","","Elephant","","Elephant","","Rarely","","NA","NA","NA","NA","NA","NA","NA","NA","","","NA","NA","","","NA","","NA","NA","NA","","NA","NA","NA","","NA","","NA","","NA","NA","NA","NA","NA","NA","","NA","","NA","","","","","",1478.9,5,"uuid:5927673b-1f2f-484d-9252-a99751c6335f",1,0,0,0,0,0,0,0,0,0,0,"hyena",282,0.224090173840523,0.0740096643567085,0.402157813310623,0.0403220616281033,0.00307568442076445,4.20978927612305,14.3478260040283,3259.10400390625
"1959",283,309,"NA","uuid:2f14eb79-c36d-433b-bc1e-9d44eb63081a","Nyanungu",47,"Female","Mkurya","Primary","No","9",1,"",0,0,"NA","NA","NA","NA","NA","NA",4,"Once_or_twice","Yes","Yes","Crop_damage Livestock_loss_med Structure","Weather",18,"No","45_60","8","3","Guarding Chasing","","Other","Tumbili","Other","Tumbili","","Sheep Goat Donkey Dog Chicken","NA","2","3","1","4","5","NA","NA","Wildlife","Night_contained Night_dog Day_none","NA","NA","Day_guard Night_contain Night_dogs","","NA","Adolesc_boys","1","NA","NA","","NA","NA","NA","","NA","","NA","Goat Sheep","NA","4","3","NA","NA","NA","Hyena","NA","Hyena","NA","","Rarely","","","Hyena",1447.3,4.1,"uuid:2f14eb79-c36d-433b-bc1e-9d44eb63081a",0,0,0,0,1,1,0,1,0,0,1,"hyena",283,0.286972612142563,0.0789371952414513,0.419855058193207,0.0305314008146524,0.00647342996671796,3.49266624450684,25.9130439758301,8404.84375
"1960",284,310,"NA","uuid:c256bd6d-8f0d-4396-8e0d-801ea446e741","Nyanungu",53,"Female","Mkurya","Primary","Yes","12",1,"",0,0,"NA","NA","NA","NA","NA","NA",4,"Frequently","Yes","Yes","Crop_damage Livestock_loss_med Structure","Weather",10,"Yes","0_15","9","2","Guarding","","Elephant Other","Tumbili","Elephant","","Often","Cattle Sheep Goat Dog Chicken","10","5","4","NA","1","5","NA","NA","Low_productivity","Night_contained Night_dog Day_none","NA","NA","Day_guard Night_contain Night_dogs","","NA","Adolesc_boys Men","1","NA","NA","","NA","NA","NA","","NA","","NA","Goat Sheep","NA","4","5","NA","NA","NA","Hyena","NA","Hyena","NA","","Never","","","Hyena",1483.5,4.1,"uuid:c256bd6d-8f0d-4396-8e0d-801ea446e741",1,0,0,0,1,1,0,1,0,0,1,"hyena",284,0.227971017360687,0.101723030209541,0.515507221221924,0.0269082132726908,0.00138486316427588,2.97299265861511,23.6811599731445,9859.1552734375
"1961",285,311,"NA","uuid:16279daa-2320-4f91-8f96-d47fdc7d3187","Nyanungu",36,"Male","Mkurya","Primary","Yes","6",1,"Young_boy Men Young_girl Women",1,1,"1","NA","1","3","NA","1",4,"Few_times","Yes","No","No_conflict","Weather",5,"Yes","0_15","8","2","Guarding","","","","","","","","NA","NA","NA","NA","NA","NA","NA","NA","","","NA","NA","","","NA","","NA","NA","NA","","NA","NA","NA","","NA","","NA","","NA","NA","NA","NA","NA","NA","","NA","","NA","","","","","",1510.3,4.6,"uuid:16279daa-2320-4f91-8f96-d47fdc7d3187",0,0,0,0,0,0,0,0,0,0,0,"hyena",285,0.288877755403519,0.0975599437952042,0.417092949151993,0.0287059172987938,0.00296207843348384,3.44488501548767,23.1449279785156,10192.052734375
"1962",286,312,"NA","uuid:52ec80d2-2dcc-4a02-a516-e725655b7c36","Kyambahi",60,"Female","Mkurya","Primary","Yes","20",1,"",0,0,"NA","NA","NA","NA","NA","NA",4,"Frequently","Yes","Yes","Crop_damage Livestock_loss_med Structure","Weather",26,"Yes","0_15","9","3","Guarding","","Elephant","","Elephant","","Always","Cattle Sheep Goat Donkey Dog Chicken","10","12","20","4","5","20","NA","NA","Low_productivity","Night_contained Night_dog Day_none","NA","NA","Day_guard Night_contain Night_dogs","","NA","Adolesc_boys Men","1","NA","NA","","NA","NA","NA","","NA","","NA","Goat Sheep Dog","NA","3","19","NA","3","NA","Hyena","NA","Hyena","NA","","Sometimes","","","Hyena",1519.8,5,"uuid:52ec80d2-2dcc-4a02-a516-e725655b7c36",1,0,0,0,0,0,0,1,0,0,1,"hyena",286,0.366634458303452,0.0814975872635841,0.319146543741226,0.0322383269667625,0.00639291480183601,3.60302543640137,31.7971019744873,10370.7392578125
"1963",287,313,"NA","uuid:997556e0-5bc4-4e35-bf06-c06cc7af5567","Kyambahi",53,"Male","Mkurya","Primary","Yes","16",1,"Young_boy Adolesc_boy Men Young_girl Adolesc_girl Women",1,1,"4","1","2","4","2","3",4,"Frequently","Yes","Yes","Livestock_loss_med Structure","Weather",10,"Yes","0_15","9","4","Guarding","","","","","","","Cattle Sheep Goat Dog Chicken","60","40","30","NA","6","10","NA","NA","Low_productivity","Night_contained Day_none","NA","NA","Day_guard Night_contain Night_dogs","","NA","Adolesc_boys Men","1","NA","NA","","NA","NA","NA","","NA","","NA","Cattle Goat Sheep","2","6","10","NA","NA","NA","Hyena","NA","Hyena","NA","","Sometimes","","","Hyena",1504.7,4.9,"uuid:997556e0-5bc4-4e35-bf06-c06cc7af5567",0,0,0,0,0,0,0,1,0,0,1,"hyena",287,0.341215640306473,0.0706567242741585,0.337589353322983,0.0333268418908119,0.00831070356070995,3.74144744873047,31.9275360107422,8756.169921875
"1964",288,314,"NA","uuid:b172ffcb-4bc0-4247-bd91-9217383760bc","Burunga",39,"Female","Mkurya","Primary","Yes","10",1,"Young_boy Adolesc_boy Men Young_girl Adolesc_girl Women",1,1,"2","1","3","2","1","1",4,"Frequently","Yes","Yes","Crop_damage Livestock_loss_med Structure","Weather",3,"No","45_60","8","4","Guarding","","Elephant","","Elephant","","Rarely","Cattle Goat Donkey Dog Chicken","23","NA","13","1","2","4","NA","NA","Low_productivity","Night_contained Night_dog Day_none","NA","NA","Day_guard Night_contain Night_dogs","","NA","Adolesc_boys Men","1","NA","NA","","NA","NA","NA","","NA","","NA","Goat","NA","2","NA","NA","NA","NA","Hyena","NA","Hyena","NA","","Never","","","Hyena",1519,5,"uuid:b172ffcb-4bc0-4247-bd91-9217383760bc",1,0,0,0,0,0,0,1,0,0,1,"hyena",288,0.426247984170914,0.0376167483627796,0.286247998476028,0.0342512093484402,0.00711755221709609,3.42411971092224,28.405797958374,8591.3818359375
"1965",289,315,"NA","uuid:e6839cf4-ce25-4bf9-b73b-5701f167a384","Burunga",32,"Female","Mnata","O_level","No","8",1,"",0,0,"NA","NA","NA","NA","NA","NA",4,"Frequently","Yes","Yes","No_conflict","Weather",5,"No","60_plus","9","2","None","","","","","","","Cattle Goat Dog Chicken Duck","40","NA","30","NA","4","18","2","NA","Low_productivity","Night_contained Day_none","NA","NA","Day_guard Night_contain Night_dogs","","NA","Men","1","NA","NA","","NA","NA","NA","","NA","","NA","","NA","NA","NA","NA","NA","NA","","NA","","NA","","","","","",1571,5,"uuid:e6839cf4-ce25-4bf9-b73b-5701f167a384",0,0,0,0,0,0,0,0,0,0,0,"hyena",289,0.464070856571198,0.0120879067108035,0.239251032471657,0.0330208092927933,0.0109267830848694,2.9930477142334,36.898551940918,7480.12548828125
"1966",290,316,"NA","uuid:968d6f1a-0d03-4f20-9278-1c887eafdbcd","Burunga",45,"Male","Mkurya","Primary","Yes","3",1,"Men Adolesc_girl Women",1,1,"NA","NA","1","NA","1","1",1,"Never","Yes","Yes","No_conflict","Weather",2,"Yes","0_15","9","2","None","","","","","","","Cattle","2","NA","NA","NA","NA","NA","NA","NA","Grazing_land","NA_noSmall","NA","NA","Day_other Night_contain","Kuwafunga","NA","","NA","NA","NA","","NA","NA","NA","","NA","","NA","","NA","NA","NA","NA","NA","NA","","NA","","NA","","","","","",1588.7,4.9,"uuid:968d6f1a-0d03-4f20-9278-1c887eafdbcd",0,0,0,0,0,0,0,0,0,0,0,"hyena",290,0.469243168830872,0.0129468599334359,0.218486309051514,0.034363929182291,0.0114653781056404,2.97298264503479,48.2173919677734,8769.9833984375
"1967",291,317,"NA","uuid:4ce5924f-41e7-4bd8-a36b-fb186ea7ee6c","Burunga",25,"Male","Mkurya","Primary","Yes","9",1,"",0,0,"NA","NA","NA","NA","NA","NA",4,"Frequently","Yes","Yes","Livestock_loss_med","Weather",2,"Yes","0_15","9","2","None","","","","","","","Cattle Dog Chicken","6","NA","NA","NA","2","9","NA","NA","Low_productivity","Night_contained Day_none","NA","NA","Day_guard Night_contain Night_dogs","","NA","Adolesc_boys Men","1","NA","NA","","NA","NA","NA","","NA","","NA","Goat Sheep","NA","2","2","NA","NA","NA","Hyena","NA","Hyena","NA","","Never","","","",1568.1,4.8,"uuid:4ce5924f-41e7-4bd8-a36b-fb186ea7ee6c",0,0,0,0,0,0,0,1,0,0,1,"hyena",291,0.438309192657471,0.0445410646498203,0.27611917257309,0.033671498298645,0.00726247997954488,3.55619430541992,34.8695640563965,9732.1630859375
"1968",292,318,"NA","uuid:e7f44b87-9028-4452-9bc5-903c0397c14f","Kyambahi",28,"Male","Mkurya","Primary","Yes","4",1,"Young_boy Men Young_girl Women",1,1,"1","NA","1","1","NA","1",4,"Frequently","Yes","Yes","No_conflict","Weather",5,"Yes","0_15","9","2","None","","","","","","","Cattle Goat Dog Chicken","21","NA","15","NA","3","12","NA","NA","Low_productivity","Night_contained Day_none","NA","NA","Day_guard Night_contain Night_dogs","","NA","Adolesc_boys Men","1","NA","NA","","NA","NA","NA","","NA","","NA","","NA","NA","NA","NA","NA","NA","","NA","","NA","","","","","",1525.2,4.8,"uuid:e7f44b87-9028-4452-9bc5-903c0397c14f",0,0,0,0,0,0,0,0,0,0,0,"hyena",292,0.458904981613159,0.0134138483554125,0.215571656823158,0.0336553938686848,0.009017713367939,2.97788882255554,73.8695678710938,10330.0009765625
"1969",293,319,"NA","uuid:4a894970-7565-4fd6-86f6-24d18ca9e25d","Burunga",31,"Male","Msukuma","Primary","No","8",1,"Young_boy Men Young_girl Adolesc_girl Women",1,1,"3","NA","1","3","1","1",4,"Frequently","Yes","No","No_conflict","Weather",3,"Yes","0_15","9","2","None","","","","","","","","NA","NA","NA","NA","NA","NA","NA","NA","","","NA","NA","","","NA","","NA","NA","NA","","NA","NA","NA","","NA","","NA","","NA","NA","NA","NA","NA","NA","","NA","","NA","","","","","",1551.3,4.7,"uuid:4a894970-7565-4fd6-86f6-24d18ca9e25d",0,0,0,0,0,0,0,0,0,0,0,"hyena",293,0.412765145301819,0.023292176425457,0.285035043954849,0.0389781557023525,0.0090407719835639,3.17684268951416,30.0579719543457,6076.2373046875
"1970",294,320,"NA","uuid:425e54e2-a482-46f0-9963-af42ee25b05f","Bokore",43,"Male","Mwikoma","Primary","Yes","12",1,"",0,0,"NA","NA","NA","NA","NA","NA",3,"Few_times","Yes","Yes","Crop_damage Livestock_loss_med","Weather",6.5,"No","45_60","8","3","Guarding Shouting","","Elephant Other","Tumbili","Elephant","","Always","Cattle Sheep Goat Dog Chicken","25","100","30","NA","2","30","NA","NA","Grazing_land","Night_contained Night_dog Day_none","NA","NA","Day_guard Night_contain Night_dogs","","NA","Adolesc_boys Men","1","NA","NA","","NA","NA","NA","","NA","","NA","Goat Sheep","NA","5","4","NA","NA","NA","Hyena","NA","Hyena","NA","","Often","","","",1597.2,4.7,"uuid:425e54e2-a482-46f0-9963-af42ee25b05f",1,0,0,0,1,1,0,1,0,0,1,"hyena",294,0.371819645166397,0.0537681169807911,0.322914659976959,0.0395330116152763,0.00795491132885218,3.99323058128357,27.5797100067139,7179.51611328125
"1971",295,321,"NA","uuid:ef3d170b-813f-4498-aa52-ff0adbd16e22","Park nyigoti",42,"Male","Msukuma","None","No","3",1,"Adolesc_boy Men Women",1,1,"NA","1","1","NA","NA","1",4,"Frequently","Yes","No","Crop_damage","Wildlife",2,"Yes","0_15","9","1","Guarding Shouting","","Elephant","","Elephant","","Sometimes","","NA","NA","NA","NA","NA","NA","NA","NA","","","NA","NA","","","NA","","NA","NA","NA","","NA","NA","NA","","NA","","NA","","NA","NA","NA","NA","NA","NA","","NA","","NA","","","","","",1433.5,5,"uuid:ef3d170b-813f-4498-aa52-ff0adbd16e22",1,0,0,0,0,0,0,0,0,0,0,"hyena",295,0.151237860321999,0.0180591400712729,0.566203474998474,0.019269872456789,0.015660896897316,2.89621376991272,7.57971000671387,1228.71350097656
"1972",296,322,"NA","uuid:1eaa0a00-65d3-4bac-b00a-14fd18536dfe","Nyichoka",19,"Female","Mkurya","Primary","Yes","6",1,"Adolesc_boy Men Young_girl Women",1,1,"NA","1","1","3","NA","1",4,"Frequently","Yes","Yes","Crop_damage Livestock_loss_med","Wildlife",5,"No","45_60","9","1","Guarding Fire Shouting","","Elephant","","Elephant","","Never","Cattle Sheep Goat Dog","40","6","10","NA","4","NA","NA","NA","Low_productivity","NA_noSmall","NA","NA","Day_guard Night_contain Night_dogs","","NA","Adolesc_boys Men","1","NA","NA","","NA","NA","NA","","NA","","NA","Cattle","3","NA","NA","NA","NA","NA","Lion","NA","Lion","NA","","","Often","","",1351.3,4.7,"uuid:1eaa0a00-65d3-4bac-b00a-14fd18536dfe",1,0,0,0,0,0,0,0,1,0,0,"hyena",296,0.15990337729454,0.0677777752280235,0.429098218679428,0.0344444438815117,0.000869565235916525,4.54401397705078,9.36231899261475,1481.82946777344
"1973",297,323,"NA","uuid:1a628c7a-d686-421d-80f1-672dbcd15fe1","Nyichoka",26,"Female","Mjita","Primary","No","6",1,"Young_boy Men Young_girl Women",1,1,"1","NA","1","3","NA","1",4,"Frequently","Yes","Yes","Crop_damage Livestock_loss_med Structure","Wildlife",5,"Yes","15_30","9","3","Guarding Fire Shouting Chasing","","Elephant","","Elephant","","Often","Cattle Sheep Goat Dog Chicken","150","70","50","NA","4","6","NA","NA","Low_productivity","Night_contained Day_none","NA","NA","Day_guard Night_contain Night_dogs","","NA","Men","2","NA","NA","","NA","NA","NA","","NA","","NA","Cattle Goat Sheep","10","4","3","NA","NA","NA","Leopard Lion","NA","Lion","NA","","","Always","Always","Elephant",1456.8,4.4,"uuid:1a628c7a-d686-421d-80f1-672dbcd15fe1",1,0,0,0,0,0,0,0,1,1,0,"hyena",297,0.16325281560421,0.0680032223463058,0.364975839853287,0.0339291468262672,0.00328502408228815,4.70275735855103,8.72463798522949,549.497375488281
"1974",298,324,"NA","uuid:3ef4aa72-ab43-42f8-acf2-0b91ffac0ea4","Bokore",38,"Male","Msukuma","Primary","No","11",1,"",0,0,"NA","NA","NA","NA","NA","NA",4,"Few_times","Yes","No","Crop_damage","Wildlife",7,"No","45_60","9","4","Guarding Fire Shouting","","Elephant","","Elephant","","Often","","NA","NA","NA","NA","NA","NA","NA","NA","","","NA","NA","","","NA","","NA","NA","NA","","NA","NA","NA","","NA","","NA","","NA","NA","NA","NA","NA","NA","","NA","","NA","","","","","",1429.4,4.8,"uuid:3ef4aa72-ab43-42f8-acf2-0b91ffac0ea4",1,0,0,0,0,0,0,0,0,0,0,"hyena",298,0.209822863340378,0.0377777777612209,0.455330103635788,0.0322383269667625,0.00687600625678897,3.97940492630005,14.2898550033569,2855.11572265625
"1975",299,325,"NA","uuid:c626f04e-8ea7-4f21-a751-70c0ef6f9a38","Park nyigoti",52,"Male","Mwikoma","Primary","Yes","8",1,"",0,0,"NA","NA","NA","NA","NA","NA",4,"Frequently","Yes","Yes","Crop_damage Livestock_loss_med","Wildlife",9,"Yes","0_15","9","3","Guarding Fire Shouting","","Elephant","","Elephant","","Always","Cattle Goat","52","NA","22","NA","NA","NA","NA","NA","Low_productivity","NA_noSmall","NA","NA","Day_guard Night_contain Night_dogs","","NA","Men","2","NA","NA","","NA","NA","NA","","NA","","NA","Cattle Goat","2","3","NA","NA","NA","NA","Hyena","NA","Hyena","NA","","Rarely","","","",1446.2,4.6,"uuid:c626f04e-8ea7-4f21-a751-70c0ef6f9a38",1,0,0,0,0,0,0,1,0,0,1,"hyena",299,0.240322068333626,0.0334782600402832,0.504830896854401,0.0377938821911812,0.0121256038546562,3.49459099769592,13.043478012085,986.327697753906
"1976",300,326,"NA","uuid:be43ea59-8ee1-4e91-80aa-f58578d7f442","Park nyigoti",32,"Male","Mwikoma","Primary","Yes","NA",0,"",0,0,"NA","NA","NA","NA","NA","NA",4,"Frequently","Yes","Yes","Crop_damage Structure","Wildlife",2,"Yes","0_15","10","3","Guarding Fire Shouting Chasing","","Elephant","","Elephant","","Always","Cattle Sheep Dog","6","4","NA","NA","2","NA","NA","NA","Low_productivity","NA_noSmall","NA","NA","Day_guard Night_contain Night_dogs","","NA","Men","1","NA","NA","","NA","NA","NA","","NA","","NA","","NA","NA","NA","NA","NA","NA","","NA","","NA","","","","","Elephant",1575.4,4.9,"uuid:be43ea59-8ee1-4e91-80aa-f58578d7f442",1,0,0,0,0,0,0,0,0,0,0,"hyena",300,0.334847033023834,0.0341706909239292,0.348582923412323,0.0425281785428524,0.00935587752610445,3.71675038337708,20.0144920349121,2232.869140625
